topicId,date,frequency
ACA,-3,2
ACA,-8,1
ACA,-9,2
ACA,-10,1
ACA,-11,1
AIDS,-1,2
AIDS,-2,1
AIDS,-3,2
AIDS,-4,1
AIDS,-5,3
AIDS,-6,1
AIDS,-7,1
AIDS,-8,5
AIDS,-9,1
AIDS,-10,2
AIDS,-12,1
ANA Test,-8,1
Abdominal Hernia,-6,1
Abdominal Muscles,-10,1
Abdominal Muscles,-12,1
Abdominal Obesity,-5,1
Abdominal Obesity,-8,1
Abdominal Obesity,-9,2
Abdominal Obesity,-12,1
Abdominal Pain,-1,8
Abdominal Pain,-2,7
Abdominal Pain,-3,3
Abdominal Pain,-5,3
Abdominal Pain,-6,4
Abdominal Pain,-7,2
Abdominal Pain,-8,1
Abdominal Pain,-9,5
Abdominal Pain,-10,4
Abdominal Pain,-11,12
Abdominal Pain,-12,7
Abdominal Surgery,-11,1
Abdominal Surgery,-12,1
Ablation,-6,1
Ablation,-7,3
Ablation,-8,2
Ablation,-10,5
Abortion,-2,5
Abortion,-3,5
Abortion,-5,2
Abortion,-8,5
Abortion,-9,2
Abortion,-10,2
Abortion,-11,1
Abortion,-12,3
Abscess,-2,2
Abscess,-3,1
Abscess,-4,5
Abscess,-5,2
Abscess,-8,2
Abscess,-9,1
Abscess,-10,2
Abscess,-11,2
Abscess,-12,2
Abstinence,-8,1
Ace Inhibitor,-3,1
Ace Inhibitor,-11,1
Acetaminophen,-1,5
Acetaminophen,-2,3
Acetaminophen,-3,5
Acetaminophen,-4,2
Acetaminophen,-5,5
Acetaminophen,-6,4
Acetaminophen,-7,2
Acetaminophen,-8,11
Acetaminophen,-9,1
Acetaminophen,-10,1
Acetaminophen,-11,6
Acetaminophen,-12,9
Acetone,-3,1
Acetone,-9,1
Achilles Tendon,-2,1
Achilles Tendon,-6,1
Achilles Tendon,-7,1
Achilles Tendon,-8,1
Acne,-1,9
Acne,-2,7
Acne,-3,4
Acne,-4,4
Acne,-5,7
Acne,-6,4
Acne,-7,11
Acne,-8,9
Acne,-9,6
Acne,-10,7
Acne,-11,11
Acne,-12,14
Acupuncture,-4,1
Acupuncture,-6,1
Acupuncture,-9,1
Acupuncture,-10,1
Acupuncture,-11,1
Acute Bronchitis,-2,1
Acute Bronchitis,-3,1
Acute Bronchitis,-5,1
Acute Bronchitis,-12,2
Acute Pancreatitis,-1,1
Acute Pancreatitis,-3,2
Acute Pancreatitis,-5,1
Acute Respiratory Distress Syndrome,-3,1
Acute Sinusitis,-11,1
Addiction,-1,2
Addiction,-2,1
Addiction,-3,2
Addiction,-5,1
Addiction,-6,1
Addiction,-7,1
Addiction,-10,3
Addiction,-11,2
Adenoidectomy,-6,1
Adenoma,-10,1
Adenomyosis,-10,1
Adolescent,-10,1
Adrenal Gland,-6,1
Adrenal Gland,-9,2
Adrenal Gland,-11,1
Adrenal Tumor,-10,1
Adult Acne,-2,1
Adult Acne,-9,1
Adult Acne,-11,1
Affordable Care Act,-5,2
Affordable Care Act,-7,2
Affordable Care Act,-8,1
Affordable Care Act,-9,1
Affordable Care Act,-10,3
Affordable Care Act,-11,1
Affordable Care Act,-12,2
Aggression,-3,1
Aggression,-4,1
Aggression,-5,3
Aggression,-10,2
Aggression,-11,1
Aggression,-12,1
Aggressive Behavior,-8,1
Aging,-1,2
Aging,-3,2
Aging,-7,1
Aging,-8,1
Aging,-11,4
Aging,-12,1
Air Quality,-11,1
Alabama,-3,1
Alabama,-10,1
Albinism,-5,1
Alcohol Abuse,-3,1
Alcohol Abuse,-9,2
Alcohol Withdrawal,-3,1
Alcoholic Beverage,-1,3
Alcoholic Beverage,-3,1
Alcoholic Beverage,-4,1
Alcoholic Beverage,-8,1
Alcoholic Beverage,-9,1
Alcoholic Beverage,-10,1
Alcoholic Beverage,-12,1
Alcoholism,-1,2
Alcoholism,-4,2
Alcoholism,-6,2
Alcoholism,-7,2
Alcoholism,-8,1
Alcoholism,-9,2
Alcoholism,-10,5
Alcoholism,-11,2
Alcoholism,-12,1
Allergic Asthma,-11,1
Allergic Reaction,-2,2
Allergic Reaction,-3,5
Allergic Reaction,-4,3
Allergic Reaction,-5,1
Allergic Reaction,-6,8
Allergic Reaction,-7,4
Allergic Reaction,-8,5
Allergic Reaction,-9,6
Allergic Reaction,-10,7
Allergic Reaction,-11,2
Allergic Reaction,-12,2
Allergy,-1,8
Allergy,-2,6
Allergy,-3,12
Allergy,-4,10
Allergy,-5,7
Allergy,-6,15
Allergy,-7,9
Allergy,-8,10
Allergy,-9,9
Allergy,-10,15
Allergy,-11,17
Allergy,-12,8
Almond,-2,1
Almond,-4,1
Almond,-5,2
Almond,-7,3
Almond,-8,1
Almond,-9,1
Almond,-10,3
Almond,-11,1
Almond,-12,2
Aloe,-5,1
Aloe,-9,1
Aloe,-12,1
Aloe Vera,-2,1
Aloe Vera,-3,1
Aloe Vera,-4,1
Aloe Vera,-7,1
Alopecia,-8,1
Alternative Medicine,-2,1
Alzheimer's Disease,-2,1
Alzheimer's Disease,-4,2
Alzheimer's Disease,-6,2
Alzheimer's Disease,-7,2
Alzheimer's Disease,-8,2
Alzheimer's Disease,-9,1
Alzheimer's Disease,-11,2
Alzheimer's Disease,-12,1
Ammonia,-1,2
Ammonia,-2,3
Ammonia,-3,1
Ammonia,-4,1
Ammonia,-5,1
Ammonia,-7,1
Ammonia,-8,3
Ammonia,-9,2
Ammonia,-11,2
Ammonia,-12,3
Amnesia,-2,1
Amoxicillin,-1,6
Amoxicillin,-2,6
Amoxicillin,-3,7
Amoxicillin,-4,1
Amoxicillin,-5,1
Amoxicillin,-6,6
Amoxicillin,-7,4
Amoxicillin,-8,10
Amoxicillin,-9,4
Amoxicillin,-10,5
Amoxicillin,-11,6
